WBA15N_DB_ET	WBA 15N Dry beans ET
WBA15N_FI_ET	WBA 15N Other field crops ET
WBA15N_GR_ET	WBA 15N Grain ET
WBA15N_ID_ET	WBA15N_ID_ET
WBA15N_NV_ET	WBA 15N Native vegetation ET
WBA15N_OG_ET	WBA 15N Onions and garlic ET
WBA15N_OR_ET	WBA 15N Other deciduous ET
WBA15N_PA_ET	WBA 15N Pasture ET
WBA15N_PO_ET	WBA 15N Potatoes ET
WBA15N_RF_ET	WBA15N_RF_ET
WBA15N_RI_ET	WBA 15N Rice ET
WBA15N_RV_ET	WBA15N_RV_ET
WBA15N_SB_ET	WBA 15N Sugar beets ET
WBA15N_SF_ET	WBA 15N Safflower ET
WBA15N_SL_ET	WBA15N_SL_ET
WBA15N_SO_ET	WBA 15N Sub-tropical ET
WBA15N_TH_ET	WBA 15N Tomatoes (hand-picked) ET
WBA15N_TM_ET	WBA 15N Tomatoes (machine-picked) ET
WBA15N_TR_ET	WBA 15N Other truck ET
WBA15N_UR_ET	WBA 15N Urban ET
WBA15N_VI_ET	WBA 15N Vineyards ET
WBA15S	WBA 15S Reference ET
WBA15S_AL_ET	WBA 15S Alfalfa ET
WBA15S_AP_ET	WBA 15S Almonds and pistachios ET
WBA15S_CO_ET	WBA 15S Cotton ET
WBA15S_CR_ET	WBA 15S Corn ET
WBA15S_CU_ET	WBA 15S Cucurbits ET
WBA15S_DB_ET	WBA 15S Dry beans ET
WBA15S_FI_ET	WBA 15S Other field crops ET
WBA15S_GR_ET	WBA 15S Grain ET
WBA15S_ID_ET	WBA15S_ID_ET
WBA15S_NV_ET	WBA 15S Native vegetation ET
WBA15S_OG_ET	WBA 15S Onions and garlic ET
WBA15S_OR_ET	WBA 15S Other deciduous ET
WBA15S_PA_ET	WBA 15S Pasture ET
WBA15S_PO_ET	WBA 15S Potatoes ET
WBA15S_RF_ET	WBA15S_RF_ET
WBA15S_RI_ET	WBA 15S Rice ET
WBA15S_RV_ET	WBA15S_RV_ET
WBA15S_SB_ET	WBA 15S Sugar beets ET
WBA15S_SF_ET	WBA 15S Safflower ET
WBA15S_SL_ET	WBA15S_SL_ET
WBA15S_SO_ET	WBA 15S Sub-tropical ET
WBA15S_TH_ET	WBA 15S Tomatoes (hand-picked) ET
WBA15S_TM_ET	WBA 15S Tomatoes (machine-picked) ET
WBA15S_TR_ET	WBA 15S Other truck ET
WBA15S_UR_ET	WBA 15S Urban ET
WBA15S_VI_ET	WBA 15S Vineyards ET
WBA16	WBA 16 Reference ET
WBA16_AL_ET	WBA 16 Alfalfa ET
WBA16_AP_ET	WBA 16 Almonds and pistachios ET
WBA16_CO_ET	WBA 16 Cotton ET
WBA16_CR_ET	WBA 16 Corn ET
WBA16_CU_ET	WBA 16 Cucurbits ET
WBA16_DB_ET	WBA 16 Dry beans ET
WBA16_FI_ET	WBA 16 Other field crops ET
WBA16_GR_ET	WBA 16 Grain ET
WBA16_ID_ET	WBA16_ID_ET
WBA16_NV_ET	WBA 16 Native vegetation ET
WBA16_OG_ET	WBA 16 Onions and garlic ET
WBA16_OR_ET	WBA 16 Other deciduous ET
WBA16_PA_ET	WBA 16 Pasture ET
WBA16_PO_ET	WBA 16 Potatoes ET
WBA16_RF_ET	WBA16_RF_ET
WBA16_RI_ET	WBA 16 Rice ET
WBA16_RV_ET	WBA16_RV_ET
WBA16_SB_ET	WBA 16 Sugar beets ET
WBA16_SF_ET	WBA 16 Safflower ET
WBA16_SL_ET	WBA16_SL_ET
WBA16_SO_ET	WBA 16 Sub-tropical ET
WBA16_TH_ET	WBA 16 Tomatoes (hand-picked) ET
WBA16_TM_ET	WBA 16 Tomatoes (machine-picked) ET
WBA16_TR_ET	WBA 16 Other truck ET
WBA16_UR_ET	WBA 16 Urban ET
WBA16_VI_ET	WBA 16 Vineyards ET
WBA17N	WBA 17N Reference ET
WBA17N_AL_ET	WBA 17N Alfalfa ET
WBA17N_AP_ET	WBA 17N Almonds and pistachios ET
WBA17N_CO_ET	WBA 17N Cotton ET
WBA17N_CR_ET	WBA 17N Corn ET
WBA17N_CU_ET	WBA 17N Cucurbits ET
WBA17N_DB_ET	WBA 17N Dry beans ET
WBA17N_FI_ET	WBA 17N Other field crops ET
WBA17N_GR_ET	WBA 17N Grain ET
WBA17N_ID_ET	WBA17N_ID_ET
WBA17N_NV_ET	WBA 17N Native vegetation ET
WBA17N_OG_ET	WBA 17N Onions and garlic ET
WBA17N_OR_ET	WBA 17N Other deciduous ET
WBA17N_PA_ET	WBA 17N Pasture ET
WBA17N_PO_ET	WBA 17N Potatoes ET
WBA17N_RF_ET	WBA17N_RF_ET
WBA17N_RI_ET	WBA 17N Rice ET
WBA17N_RV_ET	WBA17N_RV_ET
WBA17N_SB_ET	WBA 17N Sugar beets ET
WBA17N_SF_ET	WBA 17N Safflower ET
WBA17N_SL_ET	WBA17N_SL_ET
WBA17N_SO_ET	WBA 17N Sub-tropical ET
WBA17N_TH_ET	WBA 17N Tomatoes (hand-picked) ET
WBA17N_TM_ET	WBA 17N Tomatoes (machine-picked) ET
WBA17N_TR_ET	WBA 17N Other truck ET
WBA17N_UR_ET	WBA 17N Urban ET
WBA17N_VI_ET	WBA 17N Vineyards ET
WBA17S	WBA 17S Reference ET
WBA17S_AL_ET	WBA 17S Alfalfa ET
WBA17S_AP_ET	WBA 17S Almonds and pistachios ET
WBA17S_CO_ET	WBA 17S Cotton ET
WBA17S_CR_ET	WBA 17S Corn ET
WBA17S_CU_ET	WBA 17S Cucurbits ET
WBA17S_DB_ET	WBA 17S Dry beans ET
WBA17S_FI_ET	WBA 17S Other field crops ET
WBA17S_GR_ET	WBA 17S Grain ET
WBA17S_ID_ET	WBA17S_ID_ET
WBA17S_NV_ET	WBA 17S Native vegetation ET
WBA17S_OG_ET	WBA 17S Onions and garlic ET
WBA17S_OR_ET	WBA 17S Other deciduous ET
WBA17S_PA_ET	WBA 17S Pasture ET
WBA17S_PO_ET	WBA 17S Potatoes ET
WBA17S_RF_ET	WBA17S_RF_ET
WBA17S_RI_ET	WBA 17S Rice ET
WBA17S_RV_ET	WBA17S_RV_ET
WBA17S_SB_ET	WBA 17S Sugar beets ET
WBA17S_SF_ET	WBA 17S Safflower ET
WBA17S_SL_ET	WBA17S_SL_ET
WBA17S_SO_ET	WBA 17S Sub-tropical ET
WBA17S_TH_ET	WBA 17S Tomatoes (hand-picked) ET
WBA17S_TM_ET	WBA 17S Tomatoes (machine-picked) ET
WBA17S_TR_ET	WBA 17S Other truck ET
WBA17S_UR_ET	WBA 17S Urban ET
WBA17S_VI_ET	WBA 17S Vineyards ET
WBA18	WBA 18 Reference ET
WBA18_AL_ET	WBA 18 Alfalfa ET
WBA18_AP_ET	WBA 18 Almonds and pistachios ET
WBA18_CO_ET	WBA 18 Cotton ET
WBA18_CR_ET	WBA 18 Corn ET
WBA18_CU_ET	WBA 18 Cucurbits ET
WBA18_DB_ET	WBA 18 Dry beans ET
WBA18_FI_ET	WBA 18 Other field crops ET
WBA18_GR_ET	WBA 18 Grain ET
WBA18_ID_ET	WBA18_ID_ET
WBA18_NV_ET	WBA 18 Native vegetation ET
WBA18_OG_ET	WBA 18 Onions and garlic ET
